
Total rows (correct): 419
('序号', '位置(上/下)', '焊脚尺寸hf(mm)', '焊缝长度(mm)', '备注', '零件1', '零件2', '构件号', '备注', None)
(165, 'Above', 9, 115, None, 'CO007', 'p125', 'CO007', None, None)
(166, 'Below', 9, 115, None, 'CO007', 'p125', 'CO007', None, None)
(167, 'Above', 7, 220, None, 'CO007', 'p125', 'CO007', None, None)
(168, 'Below', 7, 220, None, 'CO007', 'p125', 'CO007', None, None)
(169, 'Above', 9, 115, None, 'CO007', 'p125', 'CO007', None, None)
(170, 'Below', 9, 115, None, 'CO007', 'p125', 'CO007', None, None)
(171, 'Above', None, 116, None, 'CO007', 'p124', 'CO007', 'CJP', None)
(172, 'Below', 9, 116, None, 'CO007', 'p124', 'CO007', None, None)
(173, 'Above', None, 220, None, 'CO007', 'p124', 'CO007', 'CJP', None)
(174, 'Below', 7, 220, None, 'CO007', 'p124', 'CO007', None, None)
(175, 'Above', None, 116, None, 'CO007', 'p124', 'CO007', 'CJP', None)
(176, 'Below', 9, 116, None, 'CO007', 'p124', 'CO007', None, None)
(177, 'Above', None, 116, None, 'CO007', 'p124', 'CO007', 'CJP', None)
(178, 'Below', 9, 116, None, 'CO007', 'p124', 'CO007', None, None)
(179, 'Above', None, 220, None, 'CO007', 'p124', 'CO007', 'CJP', None)
(180, 'Below', 7, 220, None, 'CO007', 'p124', 'CO007', None, None)
(181, 'Above', None, 116, None, 'CO007', 'p124', 'CO007', 'CJP', None)
(182, 'Below', 9, 116, None, 'CO007', 'p124', 'CO007', None, None)
(183, 'Above', 7, 308, None, 'CO008', 'p102', 'CO008', None, None)
(184, 'Below', 7, 308, None, 'CO008', 'p102', 'CO008', None, None)
(185, 'Above', 7, 308, None, 'p124', 'p102', 'CO008', None, None)
(186, 'Below', 7, 308, None, 'p124', 'p102', 'CO008', None, None)
(187, 'Above', 7, 90.5, None, 'p101', 'p102', 'CO008', None, None)
(188, 'Below', 7, 90.5, None, 'p101', 'p102', 'CO008', None, None)
(189, 'Above', 7, 90.5, None, 'CO008', 'p126', 'CO008', None, None)
(190, 'Below', 7, 90.5, None, 'CO008', 'p126', 'CO008', None, None)
(191, 'Above', 7, 60, None, 'CO008', 'p126', 'CO008', None, None)
(192, 'Below', 7, 60, None, 'CO008', 'p126', 'CO008', None, None)
(193, 'Above', 7, 90.5, None, 'p100', 'p126', 'CO008', None, None)
(194, 'Below', 7, 90.5, None, 'p100', 'p126', 'CO008', None, None)
(195, 'Above', 7, 90.5, None, 'CO008', 'p127', 'CO008', None, None)
(196, 'Below', 7, 90.5, None, 'CO008', 'p127', 'CO008', None, None)
(197, 'Above', 7, 60, None, 'CO008', 'p127', 'CO008', None, None)
(198, 'Below', 7, 60, None, 'CO008', 'p127', 'CO008', None, None)
(199, 'Above', 7, 90.5, None, 'p100', 'p127', 'CO008', None, None)
(200, 'Below', 7, 90.5, None, 'p100', 'p127', 'CO008', None, None)
(201, 'Above', 7, 250, None, 'CO008', 'p92', 'CO008', None, None)
(202, 'Below', 7, 250, None, 'CO008', 'p92', 'CO008', None, None)
(203, 'Above', 7, 172, None, 'CO008', 'p92', 'CO008', None, None)
(204, 'Below', 7, 172, None, 'CO008', 'p92', 'CO008', None, None)
(205, 'Above', 7, 250, None, 'CO008', 'p92', 'CO008', None, None)
(206, 'Below', 7, 250, None, 'CO008', 'p92', 'CO008', None, None)
(207, 'Above', 9, 115, None, 'CO008', 'p125', 'CO008', None, None)
(208, 'Below', 9, 115, None, 'CO008', 'p125', 'CO008', None, None)
(209, 'Above', 7, 220, None, 'CO008', 'p125', 'CO008', None, None)
(210, 'Below', 7, 220, None, 'CO008', 'p125', 'CO008', None, None)
(211, 'Above', 9, 115, None, 'CO008', 'p125', 'CO008', None, None)
(212, 'Below', 9, 115, None, 'CO008', 'p125', 'CO008', None, None)
(213, 'Above', None, 116, None, 'CO008', 'p124', 'CO008', 'CJP', None)
(214, 'Below', 9, 116, None, 'CO008', 'p124', 'CO008', None, None)
(215, 'Above', None, 220, None, 'CO008', 'p124', 'CO008', 'CJP', None)
(216, 'Below', 7, 220, None, 'CO008', 'p124', 'CO008', None, None)
(217, 'Above', None, 116, None, 'CO008', 'p124', 'CO008', 'CJP', None)
(218, 'Below', 9, 116, None, 'CO008', 'p124', 'CO008', None, None)
(219, 'Above', None, 116, None, 'CO008', 'p124', 'CO008', 'CJP', None)
(220, 'Below', 9, 116, None, 'CO008', 'p124', 'CO008', None, None)
(221, 'Above', None, 220, None, 'CO008', 'p124', 'CO008', 'CJP', None)
(222, 'Below', 7, 220, None, 'CO008', 'p124', 'CO008', None, None)
(223, 'Above', None, 116, None, 'CO008', 'p124', 'CO008', 'CJP', None)
(224, 'Below', 9, 116, None, 'CO008', 'p124', 'CO008', None, None)
(225, 'Above', 16, 405, None, 'CO009', 'p7', 'CO009', None, None)
(226, 'Below', 16, 405, None, 'CO009', 'p7', 'CO009', None, None)
(227, 'Above', 16, 308, None, 'CO009', 'p7', 'CO009', None, None)
(228, 'Below', 16, 308, None, 'CO009', 'p7', 'CO009', None, None)
(229, 'Above', 16, 405, None, 'CO009', 'p7', 'CO009', None, None)
(230, 'Below', 16, 405, None, 'CO009', 'p7', 'CO009', None, None)
(231, 'Above', 16, 400, None, 'p16', 'p7', 'CO009', None, None)
(232, 'Below', 16, 400, None, 'p16', 'p7', 'CO009', None, None)
(233, 'Above', 16, 157.5, None, 'p15', 'p7', 'CO009', None, None)
(234, 'Below', 16, 157.5, None, 'p15', 'p7', 'CO009', None, None)
(235, 'Above', 16, 157.5, None, 'p15', 'p7', 'CO009', None, None)
(236, 'Below', 16, 157.5, None, 'p15', 'p7', 'CO009', None, None)
(237, 'Above', 16, 120, None, 'p16', 'p15', 'CO009', None, None)
(238, 'Below', 16, 120, None, 'p16', 'p15', 'CO009', None, None)
(239, 'Above', 16, 120, None, 'p16', 'p15', 'CO009', None, None)
(240, 'Below', 16, 120, None, 'p16', 'p15', 'CO009', None, None)
(241, 'Above', 6, 38, None, 'CO009', 'p17', 'CO009', None, None)
(242, 'Below', 6, 38, None, 'CO009', 'p17', 'CO009', None, None)
(243, 'Above', 10, 343, None, 'CO009', 'p143', 'CO009', None, None)
(244, 'Below', 10, 343, None, 'CO009', 'p143', 'CO009', None, None)
(245, 'Above', 7, 197, None, 'p143', 'p144', 'CO009', None, None)
(246, 'Below', 7, 197, None, 'p143', 'p144', 'CO009', None, None)
(247, 'Above', 7, 165, None, 'CO009', 'p144', 'CO009', None, None)
(248, 'Below', 7, 165, None, 'CO009', 'p144', 'CO009', None, None)
(249, 'Above', 7, 197, None, 'p143', 'p144', 'CO009', None, None)
(250, 'Below', 7, 197, None, 'p143', 'p144', 'CO009', None, None)
(251, 'Above', 7, 165, None, 'CO009', 'p144', 'CO009', None, None)
(252, 'Below', 7, 165, None, 'CO009', 'p144', 'CO009', None, None)
(253, 'Above', 10, 350, None, 'CO010', 'p169', 'CO010', None, None)
(254, 'Below', 10, 350, None, 'CO010', 'p169', 'CO010', None, None)
(255, 'Above', 10, 262, None, 'CO010', 'p169', 'CO010', None, None)
(256, 'Below', 10, 262, None, 'CO010', 'p169', 'CO010', None, None)
(257, 'Above', 10, 350, None, 'CO010', 'p169', 'CO010', None, None)
(258, 'Below', 10, 350, None, 'CO010', 'p169', 'CO010', None, None)
(259, 'Above', 7, 139, None, 'CO010', 'p199', 'CO010', None, None)
(260, 'Below', 7, 139, None, 'CO010', 'p199', 'CO010', None, None)
(261, 'Above', 7, 260, None, 'CO010', 'p199', 'CO010', None, None)
(262, 'Below', 7, 260, None, 'CO010', 'p199', 'CO010', None, None)
(263, 'Above', 7, 139, None, 'CO010', 'p199', 'CO010', None, None)
(264, 'Below', 7, 139, None, 'CO010', 'p199', 'CO010', None, None)
(265, 'Above', 7, 139, None, 'CO010', 'p199', 'CO010', None, None)
(266, 'Below', 7, 139, None, 'CO010', 'p199', 'CO010', None, None)
(267, 'Above', 7, 260, None, 'CO010', 'p199', 'CO010', None, None)
(268, 'Below', 7, 260, None, 'CO010', 'p199', 'CO010', None, None)
(269, 'Above', 7, 139, None, 'CO010', 'p199', 'CO010', None, None)
(270, 'Below', 7, 139, None, 'CO010', 'p199', 'CO010', None, None)
(271, 'Above', 7, 139, None, 'CO010', 'p199', 'CO010', None, None)
(272, 'Below', 7, 139, None, 'CO010', 'p199', 'CO010', None, None)
(273, 'Above', 7, 260, None, 'CO010', 'p199', 'CO010', None, None)
(274, 'Below', 7, 260, None, 'CO010', 'p199', 'CO010', None, None)
(275, 'Above', 7, 139, None, 'CO010', 'p199', 'CO010', None, None)
(276, 'Below', 7, 139, None, 'CO010', 'p199', 'CO010', None, None)
(277, 'Above', 7, 139, None, 'CO010', 'p199', 'CO010', None, None)
(278, 'Below', 7, 139, None, 'CO010', 'p199', 'CO010', None, None)
(279, 'Above', 7, 260, None, 'CO010', 'p199', 'CO010', None, None)
(280, 'Below', 7, 260, None, 'CO010', 'p199', 'CO010', None, None)
(281, 'Above', 7, 139, None, 'CO010', 'p199', 'CO010', None, None)
(282, 'Below', 7, 139, None, 'CO010', 'p199', 'CO010', None, None)
(283, 'Above', 7, 139, None, 'CO010', 'p199', 'CO010', None, None)
(284, 'Below', 7, 139, None, 'CO010', 'p199', 'CO010', None, None)
(285, 'Above', 7, 260, None, 'CO010', 'p199', 'CO010', None, None)
(286, 'Below', 7, 260, None, 'CO010', 'p199', 'CO010', None, None)
(287, 'Above', 7, 139, None, 'CO010', 'p199', 'CO010', None, None)
(288, 'Below', 7, 139, None, 'CO010', 'p199', 'CO010', None, None)
(289, 'Above', 12, 139, None, 'CO010', 'p202', 'CO010', None, None)
(290, 'Below', 12, 139, None, 'CO010', 'p202', 'CO010', None, None)
(291, 'Above', None, 110, None, 'p195', 'p202', 'CO010', 'CJP', None)
(292, 'Below', 12, 110, None, 'p195', 'p202', 'CO010', None, None)
(293, 'Above', 12, 139, None, 'CO010', 'p202', 'CO010', None, None)
(294, 'Below', 12, 139, None, 'CO010', 'p202', 'CO010', None, None)
(295, 'Above', 12, 139, None, 'CO010', 'p212', 'CO010', None, None)
(296, 'Below', 12, 139, None, 'CO010', 'p212', 'CO010', None, None)
(297, 'Above', 12, 110, None, 'p195', 'p212', 'CO010', None, None)
(298, 'Below', 12, 110, None, 'p195', 'p212', 'CO010', None, None)
(299, 'Above', 12, 139, None, 'CO010', 'p212', 'CO010', None, None)
(300, 'Below', 12, 139, None, 'CO010', 'p212', 'CO010', None, None)
(301, 'Above', 12, 139, None, 'CO010', 'p202', 'CO010', None, None)
(302, 'Below', 12, 139, None, 'CO010', 'p202', 'CO010', None, None)
(303, 'Above', None, 110, None, 'p195', 'p202', 'CO010', 'CJP', None)
(304, 'Below', 12, 110, None, 'p195', 'p202', 'CO010', None, None)
(305, 'Above', 12, 139, None, 'CO010', 'p202', 'CO010', None, None)
(306, 'Below', 12, 139, None, 'CO010', 'p202', 'CO010', None, None)
(307, 'Above', 12, 139, None, 'CO010', 'p212', 'CO010', None, None)
(308, 'Below', 12, 139, None, 'CO010', 'p212', 'CO010', None, None)
(309, 'Above', 12, 110, None, 'p195', 'p212', 'CO010', None, None)
(310, 'Below', 12, 110, None, 'p195', 'p212', 'CO010', None, None)
(311, 'Above', 12, 139, None, 'CO010', 'p212', 'CO010', None, None)
(312, 'Below', 12, 139, None, 'CO010', 'p212', 'CO010', None, None)
(313, 'Above', 12, 200, None, 'CO010', 'p195', 'CO010', None, None)
(314, 'Below', 12, 200, None, 'CO010', 'p195', 'CO010', None, None)
(315, 'Above', 12, 139, None, 'CO010', 'p194', 'CO010', None, None)
(316, 'Below', 12, 139, None, 'CO010', 'p194', 'CO010', None, None)
(317, 'Above', None, 324, None, 'p195', 'p194', 'CO010', 'CJP', None)
